longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews,price
-73.92829,4.0,1.0,0.0,21.0,1.0,1.02,149.0
-73.94654,3.0,1.0,51.0,2.0,1.0,0.0,
-73.9755,3.0,1.0,158.0,8.0,1.0,31.31,150.0
-73.99265,2.0,1.0,0.0,7.0,1.0,0.0,89.0
-73.92284,1.0,2.0,0.0,6.0,0.0,3.58,80.0
-73.9798,1.0,4.0,0.0,17.0,0.0,1.03,200.0
-73.97485,3.0,1.0,0.0,8.0,1.0,9.19,60.0
-73.92435,30.0,1.0,76.0,39.0,0.0,9.16,79.0
-73.9917,1.0,12.0,267.0,7.0,0.0,68.71,
-74.07451,2.0,1.0,256.0,89.0,1.0,246.09,150.0
-73.95562,1.0,3.0,54.0,2.0,0.0,3.71,135.0
-73.98377,7.0,1.0,227.0,19.0,0.0,18.63,85.0
-73.85331,1.0,1.0,347.0,87.0,0.0,35.17,89.0
-73.95459,3.0,2.0,280.0,20.0,1.0,0.0,85.0
-73.91762,2.0,1.0,12.0,56.0,1.0,94.19,120.0
-73.95368,4.0,2.0,102.0,2.0,0.0,71.65,140.0
-73.99855,3.0,2.0,0.0,14.0,0.0,0.0,215.0
-73.97352,4.0,1.0,179.0,13.0,1.0,17.06,140.0
-73.9607,3.0,1.0,271.0,3.0,1.0,127.6,99.0
-73.95211,1.0,1.0,146.0,20.0,0.0,107.2,
-73.94322,1.0,1.0,161.0,20.0,1.0,55.83,
-73.99214,2.0,2.0,0.0,14.0,0.0,0.0,130.0
-73.95482,4.0,1.0,158.0,28.0,1.0,62.26,80.0
-73.90906,2.0,1.0,0.0,56.0,1.0,0.0,
-73.98295,3.0,1.0,248.0,19.0,1.0,30.28,120.0
-74.00475,3.0,1.0,164.0,11.0,1.0,10.0,60.0
-73.97717,3.0,1.0,0.0,19.0,1.0,10.43,
-73.99937,5.0,1.0,5.0,14.0,0.0,0.0,150.0
-73.99502,7.0,47.0,318.0,7.0,0.0,5.4,44.0
-73.99298,5.0,2.0,251.0,7.0,1.0,50.15,
-73.95819,4.0,1.0,0.0,6.0,0.0,1.04,50.0
-73.96325,1.0,1.0,9.0,15.0,1.0,12.93,52.0
-73.94029,30.0,52.0,337.0,20.0,1.0,4.08,55.0
-73.96628,10.0,2.0,0.0,12.0,0.0,5.21,50.0
-73.99694,1.0,1.0,189.0,53.0,1.0,69.45,70.0
-73.95042,30.0,4.0,361.0,6.0,0.0,12.02,89.0
-73.96773,1.0,1.0,179.0,3.0,0.0,1.67,35.0
-73.9982,2.0,1.0,0.0,52.0,1.0,0.0,85.0
-73.91339,1.0,1.0,123.0,49.0,0.0,14.96,150.0
-73.91037,1.0,4.0,9.0,6.0,0.0,3.05,
-73.91428,30.0,1.0,213.0,39.0,1.0,3.13,68.0
-73.90191,2.0,1.0,168.0,44.0,0.0,16.96,120.0
-73.92264,3.0,2.0,44.0,21.0,0.0,27.07,120.0
-73.93695,2.0,1.0,0.0,6.0,0.0,1.27,135.0
-73.95332,2.0,2.0,9.0,12.0,0.0,16.33,150.0
-73.99071,3.0,1.0,261.0,7.0,1.0,127.0,150.0
-73.94988,5.0,1.0,80.0,6.0,1.0,0.0,
-73.92115,30.0,1.0,45.0,21.0,1.0,1.04,110.0
-74.0044,3.0,1.0,0.0,77.0,1.0,0.0,115.0
-73.87912,2.0,1.0,64.0,81.0,0.0,5.140000000000001,80.0
-73.94163,10.0,1.0,42.0,20.0,1.0,0.0,80.0
-73.98726,2.0,1.0,0.0,19.0,0.0,3.19,
-73.91464,1.0,1.0,0.0,44.0,0.0,1.02,
-73.92296,3.0,5.0,0.0,21.0,0.0,2.14,
-73.94426,30.0,8.0,310.0,2.0,0.0,1.58,200.0
-73.962,1.0,1.0,0.0,28.0,1.0,5.12,150.0
-73.9941,7.0,1.0,124.0,64.0,1.0,1.38,110.0
-73.95408,10.0,1.0,0.0,12.0,1.0,0.0,69.0
-73.9483,30.0,1.0,273.0,20.0,1.0,71.94,49.0
-73.98116,7.0,1.0,291.0,16.0,1.0,47.96,180.0
-73.98766,3.0,1.0,0.0,23.0,1.0,1.09,80.0
-73.95906,2.0,1.0,0.0,6.0,0.0,2.32,375.0
-73.95449,30.0,3.0,331.0,28.0,2.0,0.0,
-73.92952,2.0,1.0,37.0,30.0,1.0,0.0,200.0
-73.95649,3.0,2.0,239.0,12.0,1.0,101.87,
-74.00596,20.0,3.0,53.0,43.0,1.0,0.0,52.0
-73.92677,3.0,2.0,336.0,18.0,0.0,18.35,225.0
-73.95865,5.0,1.0,0.0,6.0,1.0,4.12,
-73.92307,1.0,1.0,13.0,56.0,0.0,0.0,275.0
-73.97154,3.0,1.0,96.0,1.0,0.0,0.0,99.0
-73.96023,2.0,2.0,156.0,73.0,0.0,11.77,225.0
-73.77638,1.0,3.0,180.0,152.0,0.0,0.0,230.0
-73.99846,4.0,1.0,0.0,33.0,1.0,0.0,51.0
-73.82013,1.0,9.0,346.0,37.0,0.0,30.78,65.0
-73.94781,1.0,1.0,0.0,20.0,0.0,7.46,105.0
-73.99654,3.0,2.0,300.0,7.0,1.0,69.42,190.0
-73.95688,4.0,1.0,0.0,20.0,0.0,1.08,200.0
-73.9618,3.0,1.0,0.0,3.0,0.0,0.0,
-73.95597,1.0,1.0,0.0,25.0,1.0,3.12,95.0
-73.97834,1.0,1.0,0.0,5.0,1.0,5.1,150.0
-73.99682,4.0,1.0,0.0,52.0,1.0,5.48,145.0
-73.94576,3.0,2.0,135.0,12.0,1.0,117.23,
-73.89612,1.0,1.0,158.0,161.0,2.0,8.54,285.0
-73.92863,1.0,2.0,357.0,18.0,0.0,46.79,130.0
-73.91188,4.0,3.0,0.0,6.0,2.0,117.72,94.0
-73.95585,2.0,3.0,79.0,12.0,1.0,115.59,800.0
-73.94441,2.0,1.0,0.0,12.0,0.0,4.24,105.0
-73.98105,2.0,1.0,0.0,19.0,1.0,36.79,60.0
-73.96715,1.0,1.0,0.0,8.0,0.0,57.23,50.0
-73.91097,2.0,1.0,303.0,56.0,1.0,30.29,85.0
-73.97952,2.0,1.0,0.0,38.0,0.0,1.03,65.0
-73.98217,5.0,1.0,117.0,71.0,1.0,0.0,131.0
